round,value,daily_double,category,answer,question,air_date,answer_length,answer_word_count,syllable_count,sentence_count,dale_chall_score,processed_answer
1,100,no,ANIMALS,These rodents first got to America by stowing away on ships,rats,1984-09-10,59,11,15,1,7.05,"['rodent', 'first', 'got', 'america', 'stow', 'away', 'ship']"
1,200,no,ANIMALS,"There are about 40,000 muscles & tendons in this part of an elephant's body",the trunk,1984-09-10,75,14,17,1,7.93,"['40000', 'muscl', 'tendon', 'thi', 'part', 'eleph', 'bodi']"
1,300,no,ANIMALS,"When husbands ""pop"" for an ermine coat, they're actually buying this fur",a weasel,1984-09-10,72,12,18,1,9.5,"['husband', 'pop', 'ermin', 'coat', 'theyr', 'actual', 'buy', 'thi', 'fur']"
1,400,no,ANIMALS,"Close relative of the pig, though its name means ""river horse\""",the hippopotamus,1984-09-10,63,11,14,1,5.62,"['close', 'rel', 'pig', 'though', 'name', 'mean', 'river', 'hors']"
1,500,no,ANIMALS,"If this species of hybrid's parents were reversed, you'd get a hinny",mule,1984-09-10,68,12,16,1,9.5,"['thi', 'speci', 'hybrid', 'parent', 'revers', 'youd', 'get', 'hinni']"
1,100,no,STATE CAPITALS,Until 1875 its dual capitals were New Haven & Hartford,Connecticut,1984-09-11,54,10,15,1,9.35,"['1875', 'dual', 'capit', 'new', 'hartford']"
1,200,no,STATE CAPITALS,This N.M. town is the oldest city that's a state capital,Santa Fe,1984-09-11,56,11,14,1,5.62,"['thi', 'nm', 'town', 'oldest', 'citi', 'state', 'capit']"
1,300,no,STATE CAPITALS,"Crossing the Delaware on Xmas, 1776, Washington defeated the Hessians at this N.J. capital",Trenton,1984-09-11,90,14,24,1,8.84,"['cross', 'delawar', 'xma', '1776', 'washington', 'defeat', 'hessian', 'thi', 'nj', 'capit']"
1,400,no,STATE CAPITALS,"It actually is 5,280 feet above sea level",Denver,1984-09-11,41,8,12,1,6.01,"['actual', '5280', 'foot', 'abov', 'sea', 'level']"
1,500,no,STATE CAPITALS,"The name shows its founder, Roger Williams, believed God led him there",Providence,1984-09-11,70,12,13,1,5.55,"['name', 'show', 'founder', 'roger', 'william', 'believ', 'god', 'led']"
1,100,no,TRANSPORTATION,"Type of auto engine, or a tomato cocktail",V8,1984-09-11,41,8,12,1,6.01,"['type', 'auto', 'engin', 'tomato', 'cocktail']"
1,200,no,TRANSPORTATION,"Lindbergh was not first to fly the Atlantic, but first to do it this way",solo,1984-09-11,72,15,17,1,6.49,"['lindbergh', 'wa', 'first', 'fli', 'atlant', 'first', 'thi', 'way']"
1,300,no,TRANSPORTATION,"Derived from words ""American"", ""travel"", & ""track"", it provides most U.S. passenger rail service",Amtrak,1984-09-11,96,14,22,1,7.93,"['deriv', 'word', 'american', 'travel', 'track', 'provid', 'u', 'passeng', 'rail', 'servic']"
1,400,no,TRANSPORTATION,"London's, not New York's, was the first ever built","subway (underground, metro)",1984-09-11,50,9,11,1,5.84,"['london', 'new', 'york', 'wa', 'first', 'ever', 'built']"
1,500,no,TRANSPORTATION,"Changing lines, you could have at one time ridden these from Freeport, IL to Utica, NY",streetcars,1984-09-11,86,16,19,1,7.39,"['chang', 'line', 'could', 'one', 'time', 'ridden', 'freeport', 'il', 'utica', 'ny']"
2,200,no,SPORTS,"The Greeks reckoned time from this event, first held in Olympia in 776 B.C.",the Olympics,1984-09-11,75,14,15,1,5.46,"['greek', 'reckon', 'time', 'thi', 'event', 'first', 'held', 'olympia', '776', 'bc']"
2,200,no,RELIGION,He was the doubter among the Apostles,(St.) Thomas,1984-09-11,37,7,8,1,6.24,"['wa', 'doubter', 'among', 'apostl']"
2,400,no,RELIGION,Continent with the largest Jewish population,North America,1984-09-11,44,6,12,1,11.83,"['contin', 'largest', 'jewish', 'popul']"
2,600,no,RELIGION,Color of smoke signifying election of new Pope,white,1984-09-11,46,8,13,1,7.98,"['color', 'smoke', 'signifi', 'elect', 'new', 'pope']"
2,800,no,RELIGION,"This Buddhist sect seeks truth through concepts like ""the sound of one hand clapping\""",Zen,1984-09-11,86,14,17,1,7.71,"['thi', 'buddhist', 'sect', 'seek', 'truth', 'concept', 'like', 'sound', 'one', 'hand', 'clap']"
2,1000,no,RELIGION,"This word for the Mohammedan religion means ""submission to the will of God\""",Islam,1984-09-11,76,13,18,1,7.93,"['thi', 'word', 'mohammedan', 'religion', 'mean', 'submiss', 'god']"
1,100,no,U.S. HISTORY,This colonial inventor suggested Daylight Saving Time,Benjamin Franklin,1984-09-12,53,7,14,1,15.26,"['thi', 'coloni', 'inventor', 'suggest', 'daylight', 'save', 'time']"
1,200,no,U.S. HISTORY,"On the eve of the Civil War, some 2,000 slaveholders were of this race",black (or negro),1984-09-12,70,14,17,1,6.59,"['eve', 'civil', 'war', '2000', 'slavehold', 'thi', 'race']"
1,100,no,ANIMALS,"Scooby-Doo, Goofy & Pluto are cartoon versions",dogs,1984-09-12,46,7,11,1,14.46,"['scoobydoo', 'goofi', 'pluto', 'cartoon', 'version']"
1,200,no,ANIMALS,"\""Eager"" animal that symbolizes Canada",the beaver,1984-09-12,38,5,11,1,10.2,"['eager', 'anim', 'symbol', 'canada']"
1,300,no,ANIMALS,"They include killers, humpbacks & sperms",whales,1984-09-12,40,6,8,1,10.2,"['includ', 'killer', 'humpback', 'sperm']"
1,500,no,ANIMALS,Tibetan ox used to carry travelers and mail,a yak,1984-09-12,43,8,12,1,7.98,"['tibetan', 'ox', 'use', 'carri', 'travel', 'mail']"
1,100,no,TRANSPORTATION,"It could be paddle wheel, cargo or tramp",a steamer,1984-09-13,40,8,10,1,7.98,"['could', 'paddl', 'wheel', 'cargo', 'tramp']"
1,200,no,TRANSPORTATION,"Charlton Heston was ""on track"" with it in ""Ben Hur\""",a chariot,1984-09-13,52,10,13,1,7.29,"['charlton', 'heston', 'wa', 'track', 'ben', 'hur']"
2,200,no,STATE CAPITALS,"It succeeded Fort Whipple, Prescott, & Tucson as capital",Phoenix,1984-09-13,56,9,15,1,9.95,"['succeed', 'fort', 'whippl', 'prescott', 'tucson', 'capit']"
2,400,no,STATE CAPITALS,Lincoln lived & practiced law here for 25 years before becoming president,Springfield,1984-09-13,73,12,19,1,8.49,"['lincoln', 'live', 'practic', 'law', '25', 'year', 'befor', 'becom', 'presid']"
2,600,no,STATE CAPITALS,"1 of 4 state capitals that end in word ""City\""","(1 of) Salt Lake City, Oklahoma City, Jefferson City, Carson City",1984-09-13,46,10,12,1,5.71,"['1', '4', 'state', 'capit', 'end', 'word', 'citi']"
2,200,no,BUSINESS & INDUSTRY,"\""Body-building"" brand of bread from ""the bakery people of IT&T\""",Wonder Bread,1984-09-13,65,10,14,1,0.5,"['bodybuild', 'brand', 'bread', 'bakeri', 'peopl', 'itt']"
2,400,no,BUSINESS & INDUSTRY,"In 1978, this German co. became first foreign automaker to make cars here",Volkswagen,1984-09-13,73,13,18,1,7.93,"['1978', 'thi', 'german', 'co', 'becam', 'first', 'foreign', 'automak', 'make', 'car']"
